ID,ERGO_Prob,ERGO2_Prob,NetTCR_Prob,NetTCR22_Prob,TITAN_Prob,EPACT_Prob,PanPep_Prob,SCEPTR_Prob
tettcr_0,0.36882323026657104,0.5714195966720581,0.98138523,0.0160681,0.00019057444296777248,0.78791344,0.4988778,0.0
tettcr_1,0.08853001892566681,0.0617387443780899,0.9768449,0.09287386,0.00560558820143342,0.03885031,0.43127126,0.0
tettcr_2,0.11944523453712463,0.0016262262361124,0.0077205,0.030280814,0.036959391087293625,0.0016690705,0.29359078,0.0
tettcr_3,0.3312901258468628,0.4719480276107788,0.0041733086,0.09600963,0.2023921012878418,0.15119638,0.2250945,0.2
tettcr_4,0.02853366732597351,0.6918226480484009,0.0024900138,0.17941031,0.010094336234033108,0.20459223,0.5401671,0.2
tettcr_5,0.33089134097099304,0.0984877347946167,0.99991924,0.059794404,0.0025806990452110767,0.00033818942,0.5092001,0.2
tettcr_6,0.07133885473012924,0.5538887977600098,0.99994665,0.009668583,0.0027927709743380547,0.00092912203,0.35485873,0.2
tettcr_7,0.2185421884059906,0.1062444522976875,0.99988234,0.0065266057,0.0014528234023600817,0.09083867,0.3730774,0.2
tettcr_8,0.014530962333083153,0.6846972107887268,0.9877557,0.032511722,0.005283628590404987,0.031891324,0.3345207,0.2
tettcr_9,0.09265746921300888,0.0002426320425001,0.982449,0.0027934513,0.00977953989058733,0.0059355213,0.44993317,0.5
tettcr_10,0.1590600460767746,0.6315374970436096,0.97253907,0.021896878,0.011495170183479786,0.21697667,0.64831316,0.5
tettcr_11,0.02091151475906372,0.1354607343673706,0.92562735,0.11230757,0.022890234366059303,0.18546985,0.5447496,0.5
tettcr_12,0.16435524821281433,0.0077823107130825,0.9679651,0.0125623625,0.0010885405354201794,0.019453172,0.5626751,0.5
tettcr_13,0.19988280534744263,0.6066295504570007,0.9308549,0.022472665,0.00021804925927426666,0.00040672373,0.62563944,0.5
tettcr_14,0.12863793969154358,0.0802164152264595,0.9869156,0.008367283,0.135272815823555,0.007382251,0.58547926,0.5
tettcr_15,0.0652911588549614,0.0584543570876121,0.90561855,0.006325149,0.12858715653419495,0.022654625,0.7749663,0.5
tettcr_16,0.010639477521181107,0.4619341492652893,0.13177422,0.011690893,0.0014283640775829554,0.013330671,0.6767316,0.0
tettcr_17,0.0025256238877773285,0.0224081315100193,0.13659763,0.013580461,0.08406070619821548,0.15890667,0.39569032,0.0
tettcr_18,0.020808104425668716,0.0160703528672456,0.1288341,0.09306081,0.00524523900821805,0.035483796,0.33313024,0.0
tettcr_19,0.007316662929952145,0.0765707641839981,0.06669322,0.02311236,0.05148208886384964,0.026634162,0.32578987,0.2
tettcr_20,0.010449118912220001,0.0275809336453676,0.17807603,0.02765507,0.011935226619243622,0.039050136,0.5542713,0.2
tettcr_21,0.0007853953284211457,0.028839960694313,0.12120107,0.043080684,0.000847178918775171,0.07939912,0.52672356,0.2
tettcr_22,0.07583906501531601,0.6548565030097961,0.24073416,0.04102158,0.0028175588231533766,0.09915544,0.46625972,0.0
tettcr_23,0.012713373638689518,0.0025169332511723,0.19140732,0.02949734,0.053550343960523605,0.0711424,0.48223078,0.0
tettcr_24,0.0018453247612342238,0.0984315425157547,0.13261437,0.124666035,0.0013637110823765397,0.007797974,0.40543333,0.2
tettcr_25,0.03995005786418915,0.0077657662332057,0.24699453,0.0050058123,0.08812224864959717,0.033088,0.5016142,0.0
tettcr_26,0.0944187343120575,0.5351102948188782,0.12120107,0.003358546,0.006719261407852173,0.0076635215,0.444365,0.0
tettcr_27,0.008837939240038395,0.0102051813155412,0.23250592,0.023680706,0.015688275918364525,0.15073377,0.32777518,0.0
tettcr_28,0.14047682285308838,0.7236449718475342,0.24699453,0.6451763,0.0007463773945346475,0.99803466,0.46981466,0.5
tettcr_29,0.04495805501937866,0.0119459712877869,0.14205572,0.0070954585,0.06935090571641922,0.0001764863,0.10376141,0.5
tettcr_30,0.39826667308807373,0.0084252944216132,0.1212011,0.0007749492,0.08758342266082764,5.4397726e-05,0.1673779,0.5
tettcr_31,0.14534635841846466,0.0016274390509352,0.68951774,0.0018060303,0.06028653308749199,0.00015475437,0.15692031,0.5
tettcr_32,0.28734084963798523,0.6394613981246948,0.19813755,0.009116294,0.006667282432317734,0.00028225867,0.115641735,0.5
tettcr_33,0.005926376208662987,0.0182681139558553,0.23250592,0.015551771,0.041384052485227585,0.002370706,0.29469857,0.5
tettcr_34,0.0949414074420929,0.0008062795386649,0.13261437,0.0032390407,0.006438368000090122,0.009350111,0.3150857,0.5
tettcr_35,0.12563015520572662,0.0066576921381056,0.12120107,0.04477687,0.08245404809713364,0.0052584372,0.45409238,0.5
tettcr_36,0.035622552037239075,0.0013456821907311,0.13177422,0.018662991,0.02524711936712265,0.004448272,0.31010842,0.5
tettcr_37,0.04655887186527252,0.0010636668885126,0.07228735,0.0036082552,0.02218516357243061,0.014276363,0.35475385,0.5
tettcr_38,0.01623178832232952,0.0065198149532079,0.5109702,0.005946743,0.011566546745598316,0.008434023,0.33403307,0.5
tettcr_39,0.0750829204916954,0.4979618787765503,0.029860616,0.011638008,0.00212699337862432,0.013769776,0.280467,0.5
tettcr_40,0.0936700701713562,0.5713299512863159,0.1288341,0.7470125,0.00023376687022391707,0.9971818,0.5259797,0.5
tettcr_41,0.12563017010688782,0.0069713210687041,0.06135431,0.040638424,0.08245404809713364,0.00014459796,0.45409238,0.5
tettcr_42,0.035622552037239075,0.002518513938412,0.06669322,0.0103344,0.02524711936712265,0.00013558735,0.31010842,0.5
tettcr_43,0.025220835581421852,0.0020290249958634,0.98514897,0.0021703988,0.1457730531692505,0.00054625043,0.497602,0.5
tettcr_44,0.10888257622718811,0.000551683246158,0.9864039,0.008291731,0.09327345341444016,0.00040128306,0.46755403,0.5
